"ListID";"Created";"Date";"TimeStart";"TimeEnd";"NameCS";"Note";"Observers";"SiteName";"SiteNote";"Latitude";"Longitude";"CoordinatesSetByUser";"DistanceCovered";"MunicipalityPart";"Municipality";"District";"Region";"ListProjects";"ItemID";"Rarity";"SpeciesID";"SpeciesNameLA";"SpeciesName";"ItemTime";"ItemLatitude";"ItemLongitude";"Count";"CountMin";"CountMax";"CountExact";"Age";"Sex";"Activity";"Group";"RingMark";"ItemNote";"TagUncertain";"TagFirstArrivals";"PhotosCount";"CommentsCount";"ItemProjects";"ListLink";"ItemLink"
"d4c591";"2026-05-01 20:20:49";"2026-05-01";"20:18:00";"";"Vybraná pozorování";"";"Věra Poklopová";"";"";"49.636088";"18.455739";1;"";"Vyšní Lhoty";"Vyšní Lhoty";"Frýdek-Místek";"Moravskoslezský kraj";"Čapí hnízda";16431103;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/d4c591";"https://cso.cz/16431103"
"f0ae84";"2026-05-02 11:28:59";"2026-05-01";"20:08:00";"";"Vybraná pozorování";"";"Vladimír Balcar";"";"";"50.444147";"14.927183";1;"";"Kosmonosy";"Kosmonosy";"Mladá Boleslav";"Středočeský kraj";"Čapí hnízda";16434418;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"0";"0";"0";"1";"";"";"";1;"";"Na 46. kilometru dálnice poblíž kruhového objezdu spatřeni 2 čápové - jsou z tohoto hnízda?";0;0;1;0;"Čapí hnízda";"https://cso.cz/f0ae84";"https://cso.cz/16434418"
"c6f415";"2026-05-01 20:15:57";"2026-05-01";"20:07:00";"20:12:00";"Vybraná pozorování";"";"Věra Poklopová";"";"";"50.924956";"15.226739";1;"";"Nové Město pod Smrkem";"Nové Město pod Smrkem";"Liberec";"Liberecký kraj";"Čapí hnízda";16431101;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"C14 nosí potravu nebo trus";1;"";"";0;0;1;0;"Čapí hnízda";"https://cso.cz/c6f415";"https://cso.cz/16431101"
"6d04af";"2026-05-02 11:32:51";"2026-05-01";"19:00:00";"19:30:00";"Vybraná pozorování";"";"Jitka Dvořáková";"";"";"49.242525";"15.771404";1;"";"Okříšky";"Okříšky";"Třebíč";"Kraj Vysočina";"Čapí hnízda";16434421;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"B9 stavba hnízda";1;"";"Nosí větvičky a trávu na hnízdo";0;0;2;0;"Čapí hnízda";"https://cso.cz/6d04af";"https://cso.cz/16434421"
"810fcc";"2026-05-01 19:44:30";"2026-05-01";"19:00:00";"";"Vybraná pozorování";"";"Stáňa Hovorková";"";"";"50.096535";"16.300458";1;"";"Záměl";"Záměl";"Rychnov nad Kněžnou";"Královéhradecký kraj";"Čapí hnízda";16430997;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"";1;"";"Čáp pozorován z projíždějícího auta.";0;0;0;0;"Čapí hnízda";"https://cso.cz/810fcc";"https://cso.cz/16430997"
"be047f";"2026-05-01 19:48:02";"2026-05-01";"18:50:00";"19:00:00";"Vybraná pozorování";"";"Dorota Eliášová";"";"";"49.550929";"18.214319";1;"";"Frenštát pod Radhoštěm";"Frenštát pod Radhoštěm";"Nový Jičín";"Moravskoslezský kraj";"Čapí hnízda";16431009;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"1 dosp. sedí na hnízdě, 2 dosp. přilétá na hnízdo, klapou zobáky, a 2 dosp. odlétá";0;0;1;0;"Čapí hnízda";"https://cso.cz/be047f";"https://cso.cz/16431009"
"c988ac";"2026-05-01 18:03:37";"2026-05-01";"17:20:00";"";"Vybraná pozorování";"";"Anita Pacourková";"";"";"49.559294";"13.338880";1;"";"Příchovice";"Příchovice";"Plzeň-jih";"Plzeňský kraj";"Čapí hnízda";16430370;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"";"C13 sedí na hnízdě";1;"";"Jeden se poté zvedl, pravděpodobně provětrával důlek.";0;0;0;0;"Čapí hnízda";"https://cso.cz/c988ac";"https://cso.cz/16430370"
"1de227";"2026-05-01 20:24:10";"2026-05-01";"17:00:00";"17:45:00";"Vybraná pozorování";"";"Eva Šmolíková";"";"";"49.738556";"13.606564";1;"0,0";"Nové Město";"Rokycany";"Rokycany";"Plzeňský kraj";"Čapí hnízda";16431104;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"2";"2";"2";"1";"ad.";"P";"C13 sedí na hnízdě";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/1de227";"https://cso.cz/16431104"
"3b8c4a";"2026-05-01 16:37:02";"2026-05-01";"16:34:00";"16:35:00";"Vybraná pozorování";"";"Josef Javůrek";"";"";"50.609799";"15.503243";1;"";"Jilemnice";"Jilemnice";"Semily";"Liberecký kraj";"Čapí hnízda";16430183;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"1";"1";"1";"1";"ad.";"";"";1;"";"";0;0;0;0;"Čapí hnízda";"https://cso.cz/3b8c4a";"https://cso.cz/16430183"
"53edea";"2026-05-02 07:21:01";"2026-05-01";"16:30:00";"";"Vybraná pozorování";"";"Zdeněk Pražák";"";"";"49.895971";"15.057073";1;"";"Chmeliště";"Vavřinec";"Kutná Hora";"Středočeský kraj";"Čapí hnízda";16431953;"obvyklé";"312";"Ciconia ciconia";"čáp bílý";"";"";"";"0";"0";"0";"1";"";"";"";1;"";"pozorováno z vlaku, takže je možné, že na hnízdě čáp sedí, pouze není vidět";0;0;0;0;"Čapí hnízda";"https://cso.cz/53edea";"https://cso.cz/16431953"
